Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3063,386,386,"75,260","52,009",0.78,302,"67,930","57,602",0.19,73,"6,266",-9,386,"78,316","54,940",386,"3,043",831,0.08,30,"52,567","18,725",0.07,27,"52,282","10,410",0.76,294,"24,588","13,134",410,"244,151","94,482"
3064,"58,391","58,391","53,708","47,012",0.82,"47,606","55,580","51,418",0.11,6281,"-2,175","-1,653","58,391","55,769","48,773","58,391","2,042",872,0.15,"8,516","56,586","30,222",0.14,"7,944","37,816","11,470",0.78,"45,438","12,352","8,585","57,428","69,080","26,641"
3065,"6,961","6,961","94,158","63,555",0.82,"5,674","83,847","67,632",0.15,1017,"1,793","1,353","6,961","98,249","67,113","6,961","4,051","1,500",0.15,"1,017","103,362","29,250",0.14,943,"57,525","10,476",0.84,"5,848","30,531","15,487","8,379","204,030","49,290"
3066,"6,272","6,272","83,545","65,866",0.85,"5,352","77,893","69,504",0.12,767,"1,132",364,"6,272","86,693","68,976","6,272","3,106","1,452",0.13,845,"78,005","26,235",0.12,765,"50,136","10,515",0.86,"5,363","24,204","15,320","7,362","127,893","43,359"
3067,"6,546","6,546","81,450","65,278",0.85,"5,595","76,860","67,517",0.13,849,260,147,"6,546","84,715","68,087","6,546","3,224","1,459",0.12,777,"193,186","24,557",0.11,702,"172,232","8,819",0.85,"5,560","23,592","14,928","7,528","156,202","47,865"
3068,"12,507","12,507","101,058","66,912",0.8,"10,053","87,886","69,363",0.16,2057,"2,454","1,671","12,507","126,988","70,488","12,507","25,857","1,589",0.15,"1,865","137,009","31,869",0.14,"1,773","86,587","10,260",0.84,"10,459","34,040","16,590","14,737","255,628","77,577"
3070,"16,301","16,301","91,990","64,483",0.83,"13,568","82,045","66,760",0.17,2692,"2,724","1,242","16,301","96,627","67,499","16,301","4,590","1,474",0.14,"2,330","87,190","27,046",0.13,"2,140","54,154","8,638",0.84,"13,765","29,202","15,409","18,907","201,593","81,260"
3071,"11,708","11,708","76,016","59,464",0.84,"9,867","73,276","62,685",0.14,1667,"2,278","1,258","11,708","78,946","62,104","11,708","2,896","1,300",0.14,"1,585","54,124","24,918",0.13,"1,484","27,721","8,768",0.84,"9,820","21,326","13,314","13,469","154,647","72,716"
3072,"20,879","20,879","66,785","53,962",0.83,"17,409","66,112","57,675",0.15,3094,"1,819",840,"20,879","69,304","56,139","20,879","2,466","1,074",0.13,"2,662","64,918","25,170",0.12,"2,452","42,581","8,802",0.82,"17,046","17,590","11,516","23,616","129,463","57,274"
3073,"28,428","28,428","58,975","49,818",0.81,"23,045","60,222","54,093",0.14,3918,"3,049","1,250","28,428","61,202","51,673","28,428","2,199",912,0.13,"3,574","54,966","26,422",0.12,"3,347","35,196","8,822",0.79,"22,327","14,656","10,045","31,620","112,362","49,550"
3074,"10,343","10,343","50,390","43,705",0.78,"8,116","51,053","46,964",0.13,1306,"1,722",858,"10,343","52,250","45,114","10,343","1,840",628,0.13,"1,375","59,553","29,040",0.12,"1,286","38,803","10,594",0.74,"7,700","11,600","7,338","11,357","83,976","32,012"
3075,"11,593","11,593","51,536","44,258",0.8,"9,228","52,821","48,362",0.14,1623,"1,340",427,"11,593","53,486","45,956","11,593","1,915",680,0.13,"1,520","65,900","29,152",0.12,"1,407","48,573","11,466",0.75,"8,736","11,899","7,749","12,581","83,606","34,257"
3076,"18,441","18,441","55,307","48,049",0.82,"15,091","56,061","51,727",0.13,2415,-846,-838,"18,441","57,409","49,840","18,441","2,074",868,0.12,"2,168","58,369","31,126",0.11,"2,013","38,743","11,562",0.78,"14,469","13,042","8,717","19,558","91,672","40,223"
3078,"7,705","7,705","94,576","63,833",0.81,"6,211","83,595","66,638",0.19,1428,"1,457","1,334","7,705","98,691","66,994","7,705","4,027","1,466",0.13,"1,017","134,854","26,197",0.12,935,"97,971","9,175",0.83,"6,362","31,609","15,557","8,712","246,324","96,872"
3079,"11,272","11,272","100,425","62,884",0.74,"8,395","86,248","66,173",0.2,2288,"1,431","1,055","11,272","104,884","66,446","11,272","4,326","1,335",0.1,"1,168","265,022","31,020",0.1,"1,076","228,645","10,454",0.79,"8,906","36,597","17,010","12,329","333,538","118,918"
3081,"8,016","8,016","60,392","50,829",0.82,"6,545","62,396","56,625",0.12,980,-867,-502,"8,016","63,508","53,038","8,016","3,066",982,0.13,"1,076","50,210","27,900",0.13,"1,018","28,826","10,051",0.8,"6,381","15,342","10,573","9,061","107,881","43,916"
3082,"17,315","17,315","57,341","49,103",0.82,"14,166","58,548","53,200",0.16,2834,283,16,"17,315","59,640","51,005","17,315","2,274",950,0.1,"1,674","62,463","30,264",0.09,"1,561","40,496","10,607",0.79,"13,610","13,917","9,448","19,164","130,846","58,545"
3083,"18,595","18,595","57,410","46,060",0.79,"14,707","58,217","50,929",0.17,3173,357,-90,"18,595","59,679","47,892","18,595","2,241",765,0.11,"2,037","70,524","24,624",0.1,"1,863","50,740","9,314",0.74,"13,772","15,437","9,699","20,573","133,179","50,354"
3084,"16,625","16,625","81,232","58,123",0.75,"12,480","79,328","65,000",0.2,3277,"1,549",405,"16,625","84,812","60,966","16,625","3,499","1,217",0.1,"1,605","106,590","28,281",0.09,"1,504","65,264","9,195",0.77,"12,833","26,944","15,258","18,184","283,943","110,850"
3085,"8,399","8,399","71,375","56,041",0.79,"6,640","74,104","63,941",0.17,1443,-156,-137,"8,399","74,538","58,766","8,399","3,115","1,204",0.09,735,"69,222","23,997",0.08,673,"46,673","8,513",0.78,"6,541","21,075","13,890","9,214","208,912","102,903"
3086,65,65,"87,368","65,922",0.8,52,"68,834","51,271",0.09,6,"4,426","2,757",65,"90,504","66,933",65,"3,136","1,018",0.15,10,"71,362","40,554",0.12,8,"39,431","15,056",0.82,53,"19,995","13,207",71,"234,235","87,308"
3087,"5,351","5,351","66,131","55,550",0.81,"4,319","68,824","61,908",0.15,820,882,-92,"5,351","68,651","57,741","5,351","2,506","1,132",0.09,458,"59,644","24,692",0.08,428,"36,026","9,542",0.8,"4,256","17,825","12,674","6,124","182,771","92,069"
3088,"16,724","16,724","67,982","55,856",0.79,"13,282","70,910","62,618",0.15,2584,175,-100,"16,724","70,817","58,600","16,724","2,811","1,158",0.09,"1,519","106,421","30,359",0.09,"1,430","84,565","9,942",0.79,"13,138","19,090","13,404","18,920","207,321","107,879"
3089,"8,089","8,089","73,566","57,510",0.83,"6,691","70,314","61,049",0.15,1226,-494,-576,"8,089","76,775","60,536","8,089","3,189","1,375",0.08,686,"70,432","30,549",0.08,659,"41,539","10,892",0.81,"6,536","21,327","13,638","8,941","213,575","101,530"
3090,"1,707","1,707","87,073","59,247",0.77,"1,317","71,743","55,328",0.22,369,"1,090",227,"1,707","91,063","62,754","1,707","3,794",940,0.08,144,"120,372","35,638",0.08,135,"90,636","15,062",0.8,"1,369","28,790","14,854","1,808","275,526","118,583"
3091,"1,110","1,110","89,026","54,370",0.71,785,"65,871","46,932",0.21,228,"3,399","1,822","1,110","92,527","57,262","1,110","3,412",580,0.1,107,"110,666","52,541",0.09,105,"84,728","14,506",0.78,870,"31,330","13,304","1,188","304,957","109,943"
3093,"2,513","2,513","89,710","60,283",0.72,"1,817","77,054","62,937",0.18,454,"3,082",301,"2,513","93,520","63,482","2,513","3,706","1,004",0.09,227,"84,117","28,709",0.08,213,"51,424","10,310",0.77,"1,938","31,911","16,817","2,786","350,226","126,062"
3094,"5,635","5,635","69,912","56,362",0.78,"4,389","72,001","63,619",0.15,833,442,-74,"5,635","72,909","59,570","5,635","2,944","1,180",0.1,547,"56,062","29,480",0.09,529,"27,621","8,649",0.79,"4,438","19,963","13,565","6,461","218,539","117,984"
3095,"18,367","18,367","78,608","57,137",0.77,"14,082","76,740","62,514",0.17,3125,125,-130,"18,367","82,063","60,467","18,367","3,424","1,185",0.11,"1,944","77,376","31,235",0.1,"1,822","46,462","9,750",0.78,"14,304","25,178","14,836","20,667","273,659","130,327"
3096,"1,247","1,247","65,055","49,846",0.8,999,"65,178","53,524",0.12,152,420,-186,"1,247","68,192","52,504","1,247","3,127","1,230",0.1,125,"55,807","29,936",0.09,118,"34,846","11,364",0.79,981,"17,751","10,988","1,395","219,753","94,525"
3097,978,978,"98,863","54,050",0.66,647,"77,101","56,928",0.19,189,"1,632","1,330",978,"102,760","57,118",978,"3,697",824,0.12,120,"86,898","31,690",0.12,116,"59,360","10,077",0.77,753,"38,044","13,660","1,086","339,222","125,967"
3099,"3,106","3,106","65,242","51,150",0.76,"2,370","64,926","55,831",0.14,447,"1,033",604,"3,106","68,364","54,151","3,106","3,048",969,0.13,418,"67,049","32,618",0.13,392,"46,129","13,391",0.76,"2,375","18,562","12,058","3,549","226,425","100,585"
3101,"16,086","16,086","117,893","60,722",0.68,"10,947","93,599","62,802",0.21,3387,"1,332","1,274","16,086","123,703","65,232","16,086","5,480","1,191",0.11,"1,830","322,434","40,520",0.11,"1,699","243,800","13,594",0.77,"12,359","48,097","18,062","17,148","454,226","109,216"
3102,"4,318","4,318","100,281","59,404",0.72,"3,091","87,010","60,685",0.23,972,"2,428","1,462","4,318","105,471","62,558","4,318","5,113","1,158",0.11,494,"179,887","36,765",0.11,455,"124,142","12,905",0.77,"3,325","38,115","16,743","4,665","314,256","116,813"
3103,"10,560","10,560","89,428","47,899",0.63,"6,611","80,839","54,649",0.25,2689,"1,090","1,176","10,560","93,894","51,149","10,560","4,317",720,0.1,"1,038","296,583","30,984",0.09,946,"256,012","11,784",0.71,"7,456","36,140","14,878","10,593","398,944","92,807"
3104,"13,529","13,529","89,710","49,713",0.66,"8,979","77,744","56,156",0.27,3603,"1,125",637,"13,529","94,217","52,835","13,529","4,326",782,0.1,"1,302","428,741","38,376",0.09,"1,193","399,955","13,809",0.72,"9,744","35,611","14,436","13,620","313,948","94,014"
3105,"6,882","6,882","69,816","49,376",0.7,"4,822","69,616","57,271",0.24,1643,"3,542","1,877","6,882","72,726","51,613","6,882","2,823",704,0.1,702,"93,504","31,340",0.1,657,"64,693","11,351",0.74,"5,104","22,282","12,330","7,243","224,914","79,312"
3106,"10,828","10,828","78,432","47,732",0.66,"7,160","72,673","54,128",0.25,2695,"1,772",910,"10,828","81,988","50,475","10,828","3,437",675,0.09,"1,001","203,723","39,847",0.08,917,"176,382","13,368",0.72,"7,826","28,515","13,042","11,157","314,540","92,159"
3107,"8,312","8,312","68,598","47,740",0.7,"5,849","70,722","56,822",0.23,1879,"1,232",905,"8,312","71,488","50,246","8,312","2,765",804,0.1,854,"134,790","34,060",0.1,803,"109,137","11,534",0.73,"6,056","22,093","12,467","9,002","222,353","90,227"
3108,"15,691","15,691","60,628","42,100",0.68,"10,684","62,935","49,910",0.21,3320,"1,784",736,"15,691","63,441","44,197","15,691","2,730",544,0.11,"1,686","161,656","29,532",0.1,"1,531","144,881","9,882",0.69,"10,868","18,958","9,779","15,975","188,939","47,086"
3109,"19,002","19,002","60,103","43,390",0.69,"13,184","65,359","52,720",0.23,4407,662,223,"19,002","62,741","45,184","19,002","2,517",624,0.1,"1,969","167,138","27,269",0.09,"1,804","151,386","9,304",0.7,"13,235","18,814","10,688","19,306","187,591","62,126"
3111,"7,929","7,929","78,394","48,425",0.7,"5,559","73,555","54,810",0.21,1651,968,594,"7,929","82,092","51,323","7,929","3,617",792,0.1,760,"93,017","29,888",0.09,707,"61,693","9,491",0.73,"5,779","28,209","13,461","8,444","305,831","94,637"
3113,"5,478","5,478","84,693","56,078",0.72,"3,954","76,580","58,412",0.18,975,560,174,"5,478","88,585","59,693","5,478","3,736",973,0.11,627,"87,797","36,150",0.11,595,"50,048","10,427",0.77,"4,209","29,007","16,015","6,215","295,989","128,533"
3114,"2,561","2,561","97,359","57,658",0.72,"1,833","82,641","55,636",0.2,515,768,-45,"2,561","102,111","61,423","2,561","4,644",850,0.09,235,"120,532","30,909",0.08,214,"85,324","13,584",0.76,"1,952","36,845","17,025","2,764","377,514","140,672"
3115,"2,672","2,672","98,259","55,734",0.74,"1,970","74,848","55,680",0.18,468,"1,074",-24,"2,672","102,534","60,140","2,672","4,040",865,0.09,237,"99,102","34,674",0.09,228,"69,567","10,289",0.79,"2,100","36,347","14,404","2,865","313,674","123,628"
3116,"7,226","7,226","65,035","52,406",0.8,"5,786","65,499","56,330",0.13,948,361,-310,"7,226","67,983","54,830","7,226","2,694",889,0.09,679,"64,186","27,300",0.09,659,"39,206","9,051",0.78,"5,622","18,137","11,414","7,823","184,105","83,071"
3121,"21,238","21,238","93,489","69,616",0.85,"18,091","84,648","71,822",0.15,3222,899,318,"21,238","97,820","72,864","21,238","4,290","1,580",0.1,"2,196","108,100","27,342",0.09,"1,987","73,569","8,756",0.86,"18,323","28,856","16,390","24,721","197,426","59,764"
3122,"15,618","15,618","127,443","63,685",0.76,"11,851","88,528","63,648",0.16,2446,"1,545","1,214","15,618","133,821","67,290","15,618","6,274","1,342",0.11,"1,698","158,655","31,710",0.1,"1,563","74,168","10,699",0.79,"12,359","52,548","17,216","17,288","378,741","74,395"
3123,"9,924","9,924","109,070","64,254",0.76,"7,504","88,160","65,244",0.17,1708,269,594,"9,924","113,956","68,134","9,924","4,799","1,420",0.1,993,"142,745","27,500",0.09,898,"85,373","10,422",0.8,"7,929","41,018","17,149","10,734","342,631","80,757"
3124,"15,065","15,065","104,056","57,271",0.69,"10,329","92,093","63,049",0.22,3270,364,740,"15,065","109,302","61,124","15,065","5,027","1,178",0.1,"1,496","218,098","32,349",0.09,"1,378","158,861","10,058",0.75,"11,299","41,657","17,333","15,911","416,343","121,942"
3125,"9,218","9,218","60,685","42,212",0.74,"6,842","62,932","48,456",0.18,1618,-725,-504,"9,218","63,313","44,134","9,218","2,560",658,0.12,"1,081","87,442","21,628",0.1,963,"68,982","7,459",0.7,"6,442","19,128","10,100","9,952","151,324","34,108"
3126,"5,411","5,411","126,767","61,874",0.62,"3,370","102,631","62,327",0.23,1244,-387,325,"5,411","133,531","66,123","5,411","6,652","1,152",0.1,558,"288,916","46,386",0.1,529,"201,163","13,640",0.74,"4,026","55,780","21,656","5,579","583,722","172,588"
3127,"12,619","12,619","101,420","58,109",0.71,"9,016","91,198","64,712",0.21,2593,-216,-40,"12,619","105,738","61,988","12,619","4,261","1,197",0.1,"1,238","145,386","31,730",0.09,"1,134","100,088","9,529",0.75,"9,513","39,933","17,548","13,574","350,449","131,213"
3128,"13,915","13,915","55,495","39,275",0.75,"10,418","58,856","45,372",0.16,2240,-207,68,"13,915","57,923","40,867","13,915","2,301",487,0.11,"1,538","217,592","21,288",0.1,"1,354","217,630","6,748",0.67,"9,372","17,306","8,877","14,710","139,409","25,299"
3129,"10,878","10,878","67,348","47,629",0.74,"8,067","69,876","55,631",0.19,2104,-191,-174,"10,878","70,273","49,810","10,878","2,865",832,0.11,"1,227","72,073","24,500",0.1,"1,108","46,902","7,639",0.72,"7,866","21,745","12,060","11,632","194,419","69,138"
3130,"20,439","20,439","71,109","51,114",0.75,"15,312","71,530","58,998",0.19,3804,28,-256,"20,439","74,392","53,562","20,439","3,205",992,0.1,"2,047","98,573","27,900",0.09,"1,842","72,811","8,888",0.74,"15,208","22,758","12,994","22,036","223,868","88,984"
3131,"13,911","13,911","63,188","49,047",0.76,"10,598","67,406","57,074",0.18,2514,-11,-239,"13,911","65,636","51,282","13,911","2,420",916,0.1,"1,440","57,531","25,575",0.1,"1,330","35,100","8,010",0.74,"10,246","18,567","12,019","14,928","165,069","72,337"
3132,"10,614","10,614","69,328","52,369",0.79,"8,386","70,290","60,169",0.17,1836,-90,-76,"10,614","72,041","54,792","10,614","2,659","1,038",0.1,"1,054","81,137","26,709",0.09,978,"56,961","8,628",0.77,"8,200","20,665","12,451","11,595","188,979","83,627"
3133,"14,079","14,079","63,534","46,816",0.72,"10,113","67,983","56,147",0.23,3170,49,-229,"14,079","66,237","49,330","14,079","2,659",786,0.1,"1,355","102,301","29,138",0.09,"1,259","78,571","9,967",0.71,"9,994","19,979","11,940","15,196","223,896","87,952"
3134,"21,327","21,327","68,216","52,265",0.79,"16,857","67,880","57,130",0.15,3163,-393,-276,"21,327","71,008","54,515","21,327","2,750",938,0.09,"2,019","72,924","28,240",0.09,"1,881","48,516","8,984",0.77,"16,468","20,083","11,939","23,429","194,178","81,596"
3135,"12,240","12,240","65,883","53,068",0.8,"9,741","68,328","59,849",0.15,1815,-270,-351,"12,240","68,585","55,512","12,240","2,644","1,090",0.1,"1,163","65,474","26,584",0.09,"1,090","42,548","8,398",0.78,"9,502","18,527","12,427","13,774","190,804","90,908"
3136,"27,779","27,779","63,564","51,898",0.8,"22,253","65,438","56,840",0.13,3614,-550,-380,"27,779","66,148","54,210","27,779","2,553",968,0.09,"2,612","75,585","29,394",0.09,"2,469","52,442","10,446",0.78,"21,798","17,029","11,105","30,808","170,809","81,000"
3137,"8,740","8,740","61,163","52,043",0.82,"7,161","60,540","55,571",0.1,911,411,-96,"8,740","63,563","54,226","8,740","2,382",900,0.09,749,"134,165","32,727",0.08,721,"111,180","11,766",0.8,"6,951","15,596","10,648","9,872","147,571","75,618"
3138,"13,757","13,757","61,332","52,071",0.82,"11,338","62,447","55,864",0.12,1586,-575,-566,"13,757","63,803","54,129","13,757","2,445",917,0.09,"1,303","60,814","30,625",0.09,"1,225","35,523","10,960",0.8,"10,946","15,543","10,766","15,374","144,836","73,214"
3139,"9,003","9,003","59,662","50,152",0.79,"7,092","57,660","52,490",0.11,1028,"2,071",463,"9,003","62,481","52,607","9,003","2,721",760,0.12,"1,049","87,564","41,567",0.11,"1,029","59,651","17,186",0.79,"7,111","15,042","9,765","10,082","155,176","70,656"
3140,"10,668","10,668","62,062","51,645",0.8,"8,527","61,826","55,222",0.12,1259,736,0,"10,668","64,641","53,817","10,668","2,548",848,0.09,988,"75,737","27,900",0.09,936,"51,369","10,432",0.78,"8,322","16,461","10,789","11,740","158,771","78,583"
3141,"18,177","18,177","117,464","66,346",0.79,"14,432","85,951","68,125",0.14,2497,"1,608",369,"18,177","123,915","69,704","18,177","6,342","1,491",0.11,"1,975","131,395","28,243",0.1,"1,855","73,924","9,369",0.83,"15,129","43,950","16,257","20,834","311,034","44,840"
3142,"9,700","9,700","222,967","72,115",0.59,"5,698","108,170","63,121",0.18,1792,"5,746","2,291","9,700","234,087","77,544","9,700","10,815","1,370",0.11,"1,025","502,350","39,297",0.1,959,"399,843","16,275",0.79,"7,678","107,687","22,196","10,130","1,000,386","119,858"
3143,"6,589","6,589","127,671","68,316",0.73,"4,796","92,307","69,058",0.15,988,"2,905","1,100","6,589","133,442","72,741","6,589","5,475","1,516",0.11,746,"162,413","27,934",0.1,689,"93,207","9,464",0.81,"5,329","50,763","18,696","7,238","439,184","89,537"
3144,"7,708","7,708","143,674","69,718",0.66,"5,062","104,629","66,424",0.17,1327,"2,377",989,"7,708","151,393","74,908","7,708","7,526","1,482",0.11,830,"206,378","44,534",0.1,789,"103,824","14,554",0.8,"6,149","60,638","21,128","8,204","579,158","139,421"
3145,"15,226","15,226","105,316","58,042",0.74,"11,322","87,578","59,999",0.19,2896,929,350,"15,226","109,861","60,929","15,226","4,460","1,223",0.11,"1,660","151,422","28,241",0.1,"1,531","94,633","8,459",0.77,"11,682","41,333","16,406","16,634","318,959","92,792"
3146,"16,785","16,785","109,044","64,870",0.74,"12,392","95,391","67,856",0.2,3286,238,524,"16,785","113,792","68,518","16,785","4,667","1,392",0.09,"1,581","177,465","33,645",0.09,"1,481","112,023","10,393",0.78,"13,107","42,086","18,793","18,087","354,967","125,562"
3147,"9,128","9,128","86,615","57,702",0.75,"6,867","83,945","64,019",0.21,1926,-231,16,"9,128","90,328","60,612","9,128","3,562","1,148",0.1,886,"128,630","27,954",0.09,813,"94,046","9,803",0.76,"6,974","30,373","16,236","9,958","246,471","99,460"
3148,"6,087","6,087","64,801","50,469",0.8,"4,877","65,666","56,214",0.21,1262,200,-304,"6,087","67,566","53,174","6,087","2,673","1,013",0.12,756,"93,146","26,279",0.11,692,"71,908","9,866",0.77,"4,669","18,043","11,327","6,525","123,310","45,319"
3149,"22,392","22,392","68,306","47,893",0.71,"15,929","70,758","57,416",0.25,5505,-22,-273,"22,392","71,246","50,284","22,392","2,857",820,0.1,"2,230","92,081","25,000",0.09,"2,030","65,454","8,375",0.72,"16,100","22,407","12,404","23,326","220,480","71,571"
3150,"39,350","39,350","72,259","43,758",0.68,"26,643","66,815","53,759",0.26,10282,118,-43,"39,350","75,299","45,332","39,350","2,942",573,0.1,"3,821","183,507","27,696",0.09,"3,421","168,983","8,840",0.68,"26,873","27,487","11,568","40,610","225,751","66,266"
3151,"6,609","6,609","55,095","41,553",0.72,"4,782","60,560","50,158",0.21,1384,22,-264,"6,609","57,499","43,446","6,609","2,330",600,0.11,757,"64,615","24,967",0.1,679,"45,272","7,805",0.69,"4,559","16,053","9,463","7,115","163,905","50,440"
3152,"21,695","21,695","60,614","47,245",0.75,"16,373","64,518","54,682",0.22,4708,-801,-558,"21,695","63,166","49,500","21,695","2,512",785,0.1,"2,074","114,937","27,536",0.09,"1,891","94,956","9,708",0.73,"15,935","17,452","10,794","23,309","176,416","71,779"
3153,"12,609","12,609","57,892","50,674",0.83,"10,450","59,710","55,067",0.12,1502,-629,-770,"12,609","60,132","52,669","12,609","2,208",871,0.09,"1,171","64,815","27,900",0.09,"1,097","42,348","9,211",0.79,"10,014","14,063","9,947","14,224","127,118","62,496"
3154,"2,675","2,675","64,408","53,210",0.8,"2,153","63,983","57,567",0.13,348,120,112,"2,675","66,849","55,463","2,675","2,437",910,0.11,281,"79,310","32,442",0.1,269,"45,738","12,632",0.79,"2,118","17,251","11,812","3,052","177,901","95,823"
3155,"13,942","13,942","57,707","50,572",0.82,"11,427","60,214","55,436",0.12,1630,-368,-643,"13,942","59,886","52,591","13,942","2,155",853,0.1,"1,354","79,238","27,900",0.09,"1,259","60,947","9,196",0.79,"11,022","13,947","9,964","15,754","132,366","66,165"
3156,"23,530","23,530","64,306","52,464",0.82,"19,235","64,273","56,047",0.15,3452,-451,-482,"23,530","66,906","54,580","23,530","2,567",905,0.1,"2,246","90,454","29,020",0.09,"2,128","66,540","10,052",0.8,"18,710","17,201","10,961","26,542","164,520","79,534"
3158,"4,284","4,284","63,997","52,666",0.81,"3,459","66,148","58,014",0.13,555,618,173,"4,284","66,623","55,168","4,284","2,550",963,0.12,496,"54,886","28,110",0.11,463,"31,221","9,163",0.79,"3,383","17,083","11,810","4,924","177,083","95,192"
3159,"1,598","1,598","65,727","53,709",0.79,"1,260","66,082","59,280",0.15,232,307,406,"1,598","68,364","55,842","1,598","2,559",912,0.12,185,"88,628","36,500",0.11,175,"63,433","11,165",0.77,"1,238","18,454","12,358","1,822","200,142","96,926"
3160,"5,605","5,605","66,464","54,248",0.81,"4,567","66,659","58,039",0.14,768,298,29,"5,605","69,142","56,737","5,605","2,628",965,0.12,663,"93,601","32,204",0.11,633,"68,531","11,416",0.81,"4,533","17,704","11,804","6,519","172,224","92,548"
3161,"10,985","10,985","108,786","61,364",0.71,"7,752","77,528","56,520",0.17,1830,"5,049","2,910","10,985","114,700","65,358","10,985","5,579","1,244",0.13,"1,441","272,840","31,136",0.12,"1,299","220,611","10,266",0.81,"8,849","40,675","16,159","11,882","393,950","66,300"
3162,"11,713","11,713","90,406","57,994",0.71,"8,261","79,803","58,992",0.2,2305,"4,720","2,086","11,713","94,697","61,800","11,713","4,181","1,085",0.13,"1,528","139,253","32,458",0.12,"1,392","103,146","10,978",0.78,"9,127","31,703","15,933","12,507","324,066","91,180"
3163,"21,428","21,428","73,241","55,730",0.82,"17,497","72,888","60,616",0.16,3328,"1,334",452,"21,428","76,031","58,198","21,428","2,763","1,179",0.11,"2,426","69,817","23,619",0.1,"2,214","44,748","7,110",0.79,"17,022","21,691","13,110","23,551","168,636","56,945"
3165,"17,829","17,829","75,075","56,811",0.78,"13,985","76,513","63,241",0.21,3688,-114,-195,"17,829","78,188","59,638","17,829","3,016","1,172",0.11,"1,921","89,904","31,100",0.1,"1,782","63,312","10,898",0.79,"14,049","22,830","14,110","19,374","173,521","87,823"
3166,"15,390","15,390","66,997","52,232",0.82,"12,563","67,790","56,733",0.18,2808,"1,211",60,"15,390","69,712","54,530","15,390","2,653","1,024",0.11,"1,700","114,995","23,528",0.1,"1,549","95,659","8,533",0.78,"12,070","18,891","11,638","16,919","147,416","55,489"
3167,"5,909","5,909","62,892","50,520",0.8,"4,719","65,838","57,025",0.2,1180,246,-140,"5,909","65,394","52,456","5,909","2,469",918,0.11,650,"69,245","27,236",0.11,627,"47,810","9,685",0.78,"4,630","16,797","11,111","6,523","138,022","59,604"
3168,"13,009","13,009","45,466","35,969",0.81,"10,568","46,958","39,552",0.11,1402,698,408,"13,009","47,192","37,584","13,009","1,701",405,0.16,"2,109","51,935","18,300",0.14,"1,843","41,332","7,383",0.66,"8,642","11,787","6,572","13,892","62,231","9,172"
3169,"12,009","12,009","53,542","45,577",0.81,"9,748","55,204","50,196",0.16,1903,588,-99,"12,009","55,438","47,328","12,009","1,861",716,0.13,"1,578","53,577","23,786",0.12,"1,436","37,112","8,984",0.75,"9,020","13,090","8,616","13,222","88,926","31,566"
3170,"11,687","11,687","62,832","50,238",0.78,"9,066","64,526","56,528",0.21,2410,-164,-346,"11,687","65,400","52,274","11,687","2,517",858,0.1,"1,227","80,470","27,650",0.1,"1,131","58,524","11,094",0.76,"8,921","17,552","11,084","12,790","144,341","62,619"
3171,"12,503","12,503","45,258","38,681",0.8,"9,985","46,437","42,719",0.13,1662,"1,202",517,"12,503","47,279","41,233","12,503","1,985",430,0.13,"1,618","104,121","27,677",0.12,"1,494","91,631","10,442",0.72,"8,966","9,953","5,814","13,537","60,622","13,603"
3172,"13,366","13,366","55,027","44,768",0.8,"10,638","56,038","49,240",0.16,2076,641,-48,"13,366","57,429","47,032","13,366","2,378",680,0.09,"1,255","76,072","31,475",0.09,"1,175","54,955","12,230",0.74,"9,951","14,184","8,268","14,915","136,354","48,629"
3173,"17,424","17,424","57,693","48,029",0.82,"14,261","58,571","52,550",0.2,3532,"-1,349","-1,013","17,424","59,978","50,095","17,424","2,250",746,0.1,"1,729","139,763","29,167",0.09,"1,616","123,723","11,674",0.77,"13,478","14,733","9,235","18,565","102,279","42,560"
3174,"22,231","22,231","47,144","42,782",0.82,"18,280","49,144","46,680",0.1,2250,-6,-386,"22,231","49,126","44,823","22,231","1,952",600,0.13,"2,820","57,652","26,674",0.12,"2,618","40,641","10,836",0.74,"16,523","10,026","6,868","24,460","70,573","20,853"
3175,"27,855","27,855","50,308","43,792",0.76,"21,277","50,891","47,594",0.11,3077,954,-102,"27,855","52,376","45,500","27,855","2,035",538,0.17,"4,850","61,810","33,452",0.16,"4,547","40,770","13,272",0.76,"21,133","11,259","6,961","30,147","79,684","22,662"
3177,"5,866","5,866","45,732","42,370",0.74,"4,358","47,643","46,258",0.07,420,-204,-310,"5,866","47,423","43,808","5,866","1,679",400,0.2,"1,165","59,585","38,931",0.19,"1,092","36,445","14,094",0.74,"4,368","9,101","6,278","6,137","54,953","16,866"
3178,"21,733","21,733","63,624","52,722",0.81,"17,631","65,695","58,093",0.2,4274,"-1,217",-904,"21,733","66,341","54,970","21,733","2,677",962,0.09,"1,869","373,403","32,320",0.08,"1,751","368,887","11,273",0.78,"17,033","17,175","11,554","23,526","169,554","80,337"
