Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2142,"15,834","15,834","50,287","42,590",0.82,"12,910","52,735","47,239",0.1,1629,-259,-66,"15,834","52,116","44,228","15,834","1,796",624,0.15,"2,398","74,761","27,902",0.14,"2,208","59,026","10,409",0.75,"11,904","11,324","7,097","16,469","55,445","13,049"
2143,"5,164","5,164","53,460","43,536",0.78,"4,009","56,875","49,672",0.17,867,"1,627","1,146","5,164","55,354","44,942","5,164","1,846",571,0.13,672,"96,766","33,388",0.12,617,"81,346","11,664",0.74,"3,814","13,303","8,215","5,381","92,698","29,903"
2144,"21,904","21,904","44,109","36,964",0.76,"16,580","46,907","41,611",0.11,2328,"2,140","1,420","21,904","45,630","38,347","21,904","1,502",420,0.19,"4,193","57,639","28,547",0.17,"3,820","39,098","11,320",0.71,"15,650","9,266","5,186","21,973","43,288","7,743"
2145,"50,023","50,023","64,599","54,036",0.84,"41,818","68,284","60,583",0.17,8644,-690,-803,"50,023","66,891","56,085","50,023","2,253","1,041",0.1,"5,229","147,575","27,346",0.1,"4,849","133,509","10,706",0.79,"39,447","17,355","11,914","53,156","106,426","38,398"
2146,"11,435","11,435","62,365","54,086",0.85,"9,711","65,901","59,933",0.16,1808,140,-812,"11,435","64,643","56,325","11,435","2,261",969,0.1,"1,181","48,784","23,200",0.09,"1,084","29,981","8,898",0.79,"9,065","16,059","11,328","12,483","109,723","45,474"
2147,"20,873","20,873","61,860","52,988",0.83,"17,264","66,094","59,974",0.16,3237,89,-213,"20,873","64,118","55,091","20,873","2,222",902,0.09,"1,952","66,317","30,665",0.09,"1,834","45,194","11,881",0.78,"16,338","16,104","11,532","23,436","128,409","59,121"
2148,"38,686","38,686","56,188","49,732",0.84,"32,539","59,177","54,937",0.13,4877,-28,-605,"38,686","58,196","51,550","38,686","1,979",840,0.11,"4,427","65,609","30,127",0.11,"4,135","46,914","11,542",0.78,"30,346","13,338","9,544","41,816","84,993","33,403"
2150,"24,315","24,315","63,133","53,278",0.87,"21,047","66,660","59,411",0.1,2418,"-1,382","-1,157","24,315","65,140","55,236","24,315","1,964","1,036",0.11,"2,554","76,834","21,974",0.1,"2,310","61,892","6,862",0.79,"19,264","16,388","11,553","24,469","59,023","16,854"
2151,"12,576","12,576","68,644","55,246",0.81,"10,133","71,557","62,829",0.2,2537,343,-148,"12,576","71,173","57,463","12,576","2,488",951,0.1,"1,275","89,232","27,703",0.09,"1,191","67,292","10,939",0.78,"9,817","19,804","12,887","13,624","153,986","60,797"
2152,"6,623","6,623","70,515","58,172",0.81,"5,351","74,291","66,058",0.18,1205,-129,-138,"6,623","73,258","60,454","6,623","2,713",999,0.09,623,"58,713","27,250",0.09,585,"32,872","9,882",0.78,"5,191","20,486","14,180","7,185","161,348","78,204"
